pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
2616,608566,German Marquez,2616,100.0,0.259,0.182,0.308,0.441,0.314,0.324,0.268,174,671,90.2,6.3,2348,91.0,89.45,343,1282,1316,-1.5,5.14,114,153,113,148,306,333,306
2571,621107,Zach Eflin,2571,100.0,0.268,0.184,0.295,0.452,0.328,0.315,0.260,172,642,86.7,11.1,2165,90.1,90.51,248,1220,1336,0.4,6.41,110,151,116,150,300,324,295
2557,647336,Mike Soroka,2557,100.0,0.236,0.104,0.282,0.340,0.275,0.304,0.264,153,647,87.0,5.5,2348,88.8,86.94,281,1233,1301,-1.9,5.07,108,151,113,149,305,327,296
2511,488768,Andrew Cashner,2511,100.0,0.253,0.165,0.280,0.418,0.320,0.345,0.268,144,570,89.3,9.9,2038,88.7,87.23,256,1136,1369,-1.5,5.28,108,153,117,148,295,324,300
2510,641778,Eric Lauer,2510,100.0,0.268,0.161,0.318,0.430,0.325,0.311,0.248,158,589,89.1,13.5,2242,87.9,87.15,238,1186,1304,-0.8,5.76,112,152,113,149,303,324,301
2505,450306,Jason Vargas,2505,100.0,0.249,0.175,0.280,0.424,0.321,0.322,0.242,141,566,86.4,15.2,2248,80.2,79.50,262,1079,1408,-0.7,5.85,109,150,113,146,301,321,292
2466,519242,Chris Sale,2466,100.0,0.221,0.191,0.311,0.412,0.298,0.285,0.217,123,556,88.1,12.5,2351,86.5,85.52,372,1163,1284,-1.0,5.83,107,150,115,149,287,322,286
2456,543475,Jordan Lyles,2456,100.0,0.243,0.210,0.286,0.454,0.325,0.308,0.233,131,538,88.9,14.3,2239,87.9,88.48,278,1158,1291,0.6,6.54,109,152,118,150,305,321,298
2433,628317,Kenta Maeda,2433,100.0,0.202,0.168,0.245,0.371,0.277,0.274,0.216,114,564,85.4,14.7,2195,86.6,85.98,382,1174,1239,-0.6,5.74,112,158,119,145,294,317,295
2430,605135,Chris Bassitt,2430,100.0,0.229,0.165,0.268,0.394,0.302,0.304,0.235,125,545,87.0,14.3,2183,89.1,88.81,237,1130,1283,-0.3,6.01,111,148,119,151,300,325,300
2394,430935,Cole Hamels,2394,100.0,0.260,0.146,0.320,0.406,0.320,0.326,0.257,141,542,89.2,10.6,1968,87.3,87.22,308,1121,1254,-0.1,6.15,109,150,109,150,299,322,295
2392,502624,Chase Anderson,2392,100.0,0.240,0.209,0.270,0.449,0.324,0.321,0.250,126,526,86.6,18.9,2233,88.8,87.73,279,1183,1193,-1.1,5.58,109,156,115,151,302,318,294
2373,592351,Jon Gray,2373,100.0,0.259,0.178,0.319,0.437,0.326,0.325,0.269,147,567,88.9,7.5,2150,91.2,91.17,296,1121,1240,0.0,5.98,114,153,114,148,306,332,307
2361,596057,Daniel Norris,2361,100.0,0.275,0.198,0.312,0.473,0.338,0.333,0.266,154,560,90.2,10.9,2249,87.3,85.98,257,1113,1233,-1.3,5.35,106,150,114,146,300,328,291
2327,592866,Trevor Williams,2327,100.0,0.284,0.229,0.308,0.513,0.356,0.343,0.277,162,571,87.2,16.4,2114,88.5,89.17,259,1159,1150,0.7,6.49,110,150,119,148,304,323,298
2305,592717,Aaron Sanchez,2305,100.0,0.278,0.179,0.321,0.457,0.356,0.343,0.266,145,521,89.6,8.9,2300,89.0,88.91,224,1023,1267,-0.1,6.29,110,153,116,150,303,325,301
2290,670950,Trevor Richards,2290,100.0,0.249,0.173,0.293,0.422,0.319,0.314,0.242,127,510,87.1,16.7,2231,86.5,86.75,295,1115,1161,0.3,6.41,107,157,117,148,299,326,299
2280,663978,Chris Paddack,2280,100.0,0.204,0.176,0.239,0.380,0.271,0.275,0.217,107,524,86.9,14.9,2072,89.3,89.86,295,1188,1079,0.6,6.60,115,153,114,151,303,324,304
2278,501381,Michael Pineda,2278,100.0,0.253,0.177,0.294,0.430,0.305,0.312,0.258,141,558,88.9,16.0,1982,89.1,88.98,305,1183,1072,-0.1,6.20,108,153,113,147,297,325,292
2275,642098,Glenn Sparkman,2275,100.0,0.296,0.231,0.300,0.527,0.368,0.364,0.293,164,554,90.6,14.1,2275,88.9,89.32,185,1085,1179,0.4,6.37,112,149,117,143,301,326,303
2247,593334,Domingo German,2247,100.0,0.228,0.214,0.260,0.442,0.309,0.316,0.247,125,548,89.1,14.9,2489,88.0,87.27,314,1106,1130,-0.7,5.78,109,154,115,150,293,325,292
2237,622608,Antonio Senzatela,2237,100.0,0.313,0.193,0.336,0.506,0.377,0.356,0.296,161,514,89.1,4.3,2116,89.8,89.88,179,1002,1223,0.1,6.06,112,152,115,148,308,335,308
2211,641816,Tyler Mahle,2211,100.0,0.266,0.191,0.308,0.457,0.330,0.318,0.256,136,512,88.7,8.8,2214,89.3,89.47,237,1013,1183,0.2,6.34,115,156,117,147,294,317,291
2199,608379,Michael Wacha,2199,100.0,0.290,0.213,0.318,0.503,0.364,0.354,0.279,143,493,87.6,9.0,1944,88.9,89.58,222,1043,1143,0.7,6.56,110,151,111,149,297,321,296
2192,453562,Jake Arrieta,2192,100.0,0.283,0.165,0.320,0.448,0.342,0.334,0.266,149,527,88.7,6.3,2209,89.6,88.79,174,953,1220,-0.8,5.85,109,150,115,150,299,323,295
2161,518633,Danny Duffy,2161,100.0,0.251,0.187,0.285,0.438,0.326,0.342,0.266,125,498,88.9,15.8,2269,87.7,88.21,248,1025,1125,0.5,6.48,110,151,118,143,304,327,305
2130,592767,Drew Smyly,2130,100.0,0.278,0.280,0.310,0.558,0.384,0.360,0.264,126,453,88.6,17.3,1997,85.9,84.56,245,943,1181,-1.3,5.38,106,151,114,147,297,322,295
2120,592826,Vince Velasquez,2120,100.0,0.263,0.236,0.309,0.499,0.351,0.334,0.252,120,457,89.4,16.5,2400,91.2,91.38,270,1041,1061,0.2,6.34,111,151,118,150,300,325,296
